EquipmentNo,Age (Yrs),Station Name,24Hr,AM,PM,Outages,Scheduled,Non-Scheduled,Entrapments
EL342,13,Euclid Av - A/C Line(s),99.06 %,100.00 %,96.67 %,1,0,1,0
EL343,13,Euclid Av - A/C Line(s),98.77 %,100.00 %,100.00 %,3,2,1,0
EL344,5,Utica Av - A/C Line(s),97.53 %,96.19 %,96.67 %,5,0,5,0
EL345,5,Utica Av - A/C Line(s),99.71 %,100.00 %,98.25 %,1,0,1,0
EL346,5,Utica Av - A/C Line(s),99.55 %,100.00 %,100.00 %,2,0,2,1
EL34X,,34 St - Penn - 1/2/3 Line(s),99.62 %,97.92 %,100.00 %,,,,
EL370,14,Dekalb Av - B/Q/R Line(s),96.22 %,99.42 %,96.52 %,5,3,2,0
EL371,14,Dekalb Av - B/Q/R Line(s),98.62 %,100.00 %,100.00 %,2,2,0,0
EL372,14,Dekalb Av - B/Q/R Line(s),98.57 %,100.00 %,100.00 %,3,2,1,0
EL373,11,Church Av - F/G Line(s),97.74 %,97.71 %,99.29 %,3,2,1,0
EL374,11,Church Av - F/G Line(s),97.10 %,100.00 %,96.53 %,7,3,4,0
EL375,11,Church Av - F/G Line(s),95.88 %,94.31 %,99.63 %,7,5,2,0
EL376,7,Bay Parkway - D Line(s),97.59 %,100.00 %,96.67 %,5,3,2,0
EL377,7,Bay Parkway - D Line(s),99.28 %,100.00 %,100.00 %,1,1,0,0
EL378,7,Bay Parkway - D Line(s),98.54 %,98.98 %,100.00 %,3,2,1,0
EL382,16,Prospect Park - B/Q/S Line(s),96.80 %,96.94 %,99.98 %,8,1,7,1
EL383,16,Prospect Park - B/Q/S Line(s),99.05 %,98.92 %,100.00 %,3,1,2,1
EL391,15,Marcy Av - J/M/Z Line(s),97.40 %,97.15 %,96.67 %,4,0,4,0
EL392,15,Marcy Av - J/M/Z Line(s),98.12 %,97.28 %,99.92 %,2,0,2,0
EL393,16,Flushing Av - J/M Line(s),96.35 %,98.33 %,98.83 %,5,0,5,1
EL394,16,Flushing Av - J/M Line(s),99.67 %,100.00 %,98.02 %,1,0,1,0
