EquipmentNo,Age (Yrs),Station Name,24Hr,AM,PM,Outages,Scheduled,Non-Scheduled,Entrapments
EL497,7,Far Rockaway - Mott Av - A Line(s),99.54 %,100.00 %,100.00 %,1,1,0,0
EL498,7,Far Rockaway - Mott Av - A Line(s),97.88 %,97.48 %,97.36 %,2,1,1,1
EL600,4,34 St - Hudson Yards - 7 Line(s),98.54 %,100.00 %,100.00 %,2,1,1,1
EL601,4,34 St - Hudson Yards - 7 Line(s),76.55 %,73.26 %,73.02 %,24,2,22,1
EL602,4,34 St - Hudson Yards - 7 Line(s),88.60 %,90.65 %,81.33 %,16,0,16,1
EL603,4,34 St - Hudson Yards - 7 Line(s),98.78 %,100.00 %,97.92 %,3,2,1,0
EL700X,,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),89.59 %,91.92 %,86.67 %,,,,
EL701,14,Coney Island Stillwell Av - D/F/N/Q Line(s),96.05 %,96.67 %,96.67 %,2,1,1,0
EL702,14,Coney Island Stillwell Av - D/F/N/Q Line(s),97.72 %,100.00 %,97.33 %,3,1,2,1
EL706,9,Jay St - MetroTech - A/C/F/R Line(s),99.23 %,100.00 %,99.02 %,7,0,7,0
EL707,9,Jay St - MetroTech - A/C/F/R Line(s),98.46 %,100.00 %,99.04 %,5,1,4,0
EL708,9,Jay St - MetroTech - A/C/F/R Line(s),97.37 %,97.08 %,99.51 %,12,2,10,0
EL709,9,Jay St - MetroTech - A/C/F/R Line(s),98.50 %,100.00 %,98.06 %,4,1,3,0
EL710,12,Bowling Green - 4/5 Line(s),93.87 %,94.93 %,93.53 %,12,4,8,0
EL711,12,Bowling Green - 4/5 Line(s),99.22 %,100.00 %,100.00 %,3,1,2,0
EL712,1,WTC Cortlandt - 1 Line(s),99.20 %,100.00 %,100.00 %,2,2,0,0
EL713,1,WTC Cortlandt - 1 Line(s),98.45 %,98.78 %,100.00 %,4,2,2,0
EL716,5,Fulton St - A/C/J/Z/2/3/4/5 Line(s),98.73 %,100.00 %,99.21 %,3,2,1,0
EL717X,,Fulton St - A/C/J/Z/2/3/4/5 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL718X,,Fulton St - A/C/J/Z/2/3/4/5 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL719,6,Fulton St - A/C/J/Z/2/3/4/5 Line(s),91.89 %,94.55 %,90.62 %,11,3,8,0
EL720,5,Fulton St - A/C/J/Z/2/3/4/5 Line(s),97.75 %,96.67 %,97.54 %,5,1,4,1
EL721,6,Fulton St - A/C/J/Z/2/3/4/5 Line(s),92.50 %,91.06 %,96.17 %,11,2,9,0
EL722,6,Fulton St - A/C/J/Z/2/3/4/5 Line(s),99.41 %,99.65 %,99.86 %,4,0,4,1
EL723,6,Fulton St - A/C/J/Z/2/3/4/5 Line(s),98.69 %,100.00 %,99.06 %,3,2,1,0
EL726X,,Fulton St - A/C/J/Z/2/3/4/5 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL727X,,Fulton St - A/C/J/Z/2/3/4/5 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL728X,,Fulton St - A/C/J/Z/2/3/4/5 Line(s),99.07 %,98.89 %,99.67 %,,,,
EL729X,,Fulton St - A/C/J/Z/2/3/4/5 Line(s),95.84 %,96.67 %,93.33 %,,,,
EL730,2,South Ferry / Whitehall St - 1/R/W Line(s),98.71 %,99.04 %,100.00 %,3,2,1,0
EL731,2,South Ferry / Whitehall St - 1/R/W Line(s),98.62 %,95.69 %,98.23 %,4,0,4,0
EL732,12,Fulton St - A/C/J/Z/2/3/4/5 Line(s),98.97 %,100.00 %,99.60 %,2,1,1,0
EL737X,,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),99.44 %,100.00 %,99.58 %,,,,
EL760,8,Kings Highway - B/Q Line(s),100.00 %,100.00 %,100.00 %,3,0,3,0
EL761,8,Kings Highway - B/Q Line(s),99.34 %,100.00 %,100.00 %,1,0,1,0
