,ID,Age,Location,Lines,X1st_Quarter_2019_24_Hour_Availability_,X1st_Quarter_2019_24_Hour_Availability_AM_Peak,X1st_Quarter_2019_24_Hour_Availability_PM_Peak,Non_Scheduled_Outages,Scheduled_Outages,Entrapments,Owner,s
584,ES259,2,96 St,Q,93.60%,97.12%,95.41%,17,42,0,MTA,Q
585,ES269,15,Lexington Av-53 St,EM,93.66%,96.44%,93.88%,36,16,0,MTA,E
586,ES269,15,Lexington Av-53 St,EM,93.66%,96.44%,93.88%,36,16,0,MTA,M
587,ES270,2,96 St,Q,93.75%,97.61%,98.31%,15,41,0,MTA,Q
588,ES339,15,Bowling Green,45,93.78%,94.45%,94.29%,58,5,0,MTA,4
589,ES339,15,Bowling Green,45,93.78%,94.45%,94.29%,58,5,0,MTA,5
590,ES276,2,86 St,Q,93.90%,93.64%,97.29%,23,24,0,MTA,Q
591,ES334,5,Bowery,JZ,93.99%,96.05%,94.93%,29,13,0,MTA,J
592,ES334,5,Bowery,JZ,93.99%,96.05%,94.93%,29,13,0,MTA,Z
593,ES205,17,Grand Central-42 St,7,94.35%,98.24%,93.89%,30,22,0,MTA,7
594,ES238,19,7 Av,BDE,94.36%,96.54%,93.81%,34,14,0,MTA,B
595,ES238,19,7 Av,BDE,94.36%,96.54%,93.81%,34,14,0,MTA,D
596,ES238,19,7 Av,BDE,94.36%,96.54%,93.81%,34,14,0,MTA,E
597,ES289,2,72 St,Q,94.37%,94.44%,92.01%,32,17,0,MTA,Q
598,ES374,1,South Ferry,1,94.44%,96.38%,94.78%,28,14,0,MTA,1
599,ES290,2,72 St,Q,94.51%,99.29%,87.37%,31,6,0,MTA,Q
600,ES311,17,Whitehall St,RW,94.57%,94.26%,93.97%,21,8,0,MTA,R
601,ES311,17,Whitehall St,RW,94.57%,94.26%,93.97%,21,8,0,MTA,W
602,ES337,15,Bowling Green,45,94.57%,94.63%,95.95%,18,7,0,MTA,4
603,ES337,15,Bowling Green,45,94.57%,94.63%,95.95%,18,7,0,MTA,5
604,ES294,2,72 St,Q,94.59%,95.91%,98.20%,17,16,0,MTA,Q
605,ES625,3,34 St-Hudson Yards,7,94.82%,94.47%,96.58%,6,10,0,MTA,7
606,ES271,2,96 St,Q,94.87%,98.10%,95.68%,18,31,0,MTA,Q
607,ES224,12,34 St-Herald Sq,BDFMNQRW,94.90%,95.57%,91.59%,23,2,0,MTA,B
608,ES224,12,34 St-Herald Sq,BDFMNQRW,94.90%,95.57%,91.59%,23,2,0,MTA,D
609,ES224,12,34 St-Herald Sq,BDFMNQRW,94.90%,95.57%,91.59%,23,2,0,MTA,F
610,ES224,12,34 St-Herald Sq,BDFMNQRW,94.90%,95.57%,91.59%,23,2,0,MTA,M
611,ES224,12,34 St-Herald Sq,BDFMNQRW,94.90%,95.57%,91.59%,23,2,0,MTA,N
612,ES224,12,34 St-Herald Sq,BDFMNQRW,94.90%,95.57%,91.59%,23,2,0,MTA,Q
613,ES224,12,34 St-Herald Sq,BDFMNQRW,94.90%,95.57%,91.59%,23,2,0,MTA,R
614,ES224,12,34 St-Herald Sq,BDFMNQRW,94.90%,95.57%,91.59%,23,2,0,MTA,W
615,ES274,2,86 St,Q,94.91%,97.48%,98.38%,22,31,0,MTA,Q
616,ES312,5,Whitehall St,RW,94.99%,97.01%,93.84%,17,12,0,MTA,R
617,ES312,5,Whitehall St,RW,94.99%,97.01%,93.84%,17,12,0,MTA,W
618,ES621,3,34 St-Hudson Yards,7,95.00%,96.59%,92.27%,23,12,0,MTA,7
619,ES413,22,Roosevelt Island,F,95.04%,94.57%,95.93%,15,10,0,MTA,F
620,ES343,15,Bowling Green,45,95.09%,96.14%,93.45%,18,4,0,MTA,4
621,ES343,15,Bowling Green,45,95.09%,96.14%,93.45%,18,4,0,MTA,5
622,ES302,19,Park Pl,23,95.10%,94.45%,94.74%,32,6,0,MTA,2
623,ES302,19,Park Pl,23,95.10%,94.45%,94.74%,32,6,0,MTA,3
624,ES369,1,South Ferry,1,95.14%,94.41%,94.83%,50,6,0,MTA,1
625,ES300,6,Bleecker St,DFBM6,95.15%,95.68%,90.80%,24,13,0,MTA,6
626,ES300,6,Bleecker St,DFBM6,95.15%,95.68%,90.80%,24,13,0,MTA,B
627,ES300,6,Bleecker St,DFBM6,95.15%,95.68%,90.80%,24,13,0,MTA,D
628,ES300,6,Bleecker St,DFBM6,95.15%,95.68%,90.80%,24,13,0,MTA,F
629,ES300,6,Bleecker St,DFBM6,95.15%,95.68%,90.80%,24,13,0,MTA,M
630,ES214,20,59 St,456,95.16%,96.44%,94.85%,31,12,0,MTA,4
631,ES214,20,59 St,456,95.16%,96.44%,94.85%,31,12,0,MTA,5
632,ES214,20,59 St,456,95.16%,96.44%,94.85%,31,12,0,MTA,6
633,ES287,2,72 St,Q,95.17%,96.89%,94.81%,21,32,0,MTA,Q
634,ES341,15,Bowling Green,45,95.31%,96.96%,94.71%,33,6,0,MTA,4
635,ES341,15,Bowling Green,45,95.31%,96.96%,94.71%,33,6,0,MTA,5
636,ES239,19,5 Av-53 St,EM,95.58%,93.53%,96.91%,18,7,0,MTA,E
637,ES239,19,5 Av-53 St,EM,95.58%,93.53%,96.91%,18,7,0,MTA,M
638,ES634,0,34 St-Hudson Yards,7,95.66%,94.84%,97.19%,10,15,0,MTA,7
639,ES407,29,Lexington Av-63 St,FQ,95.66%,98.62%,94.19%,37,28,0,MTA,F
640,ES407,29,Lexington Av-63 St,FQ,95.66%,98.62%,94.19%,37,28,0,MTA,Q
641,ES281,2,86 St,Q,95.85%,99.81%,93.19%,18,22,0,MTA,Q
642,ES402,29,Lexington Av-63 St,FQ,95.86%,98.64%,98.61%,8,45,0,MTA,F
643,ES402,29,Lexington Av-63 St,FQ,95.86%,98.64%,98.61%,8,45,0,MTA,Q
644,ES282,2,86 St,Q,95.87%,97.20%,98.25%,8,39,0,MTA,Q
645,ES279,2,86 St,Q,95.91%,99.11%,96.41%,24,22,0,MTA,Q
646,ES416,22,Roosevelt Island,F,95.97%,96.99%,97.55%,5,11,0,MTA,F
647,ES368,5,Fulton St,ACJZ2345,96.10%,96.85%,96.29%,14,8,0,MTA,2
648,ES368,5,Fulton St,ACJZ2345,96.10%,96.85%,96.29%,14,8,0,MTA,3
649,ES368,5,Fulton St,ACJZ2345,96.10%,96.85%,96.29%,14,8,0,MTA,4
650,ES368,5,Fulton St,ACJZ2345,96.10%,96.85%,96.29%,14,8,0,MTA,5
651,ES368,5,Fulton St,ACJZ2345,96.10%,96.85%,96.29%,14,8,0,MTA,A
652,ES368,5,Fulton St,ACJZ2345,96.10%,96.85%,96.29%,14,8,0,MTA,C
653,ES368,5,Fulton St,ACJZ2345,96.10%,96.85%,96.29%,14,8,0,MTA,J
654,ES368,5,Fulton St,ACJZ2345,96.10%,96.85%,96.29%,14,8,0,MTA,Z
655,ES260,2,96 St,Q,96.10%,99.60%,97.79%,10,39,0,MTA,Q
656,ES375,1,South Ferry,1,96.12%,98.44%,98.12%,20,13,0,MTA,1
657,ES273,2,86 St,Q,96.28%,99.26%,96.34%,9,29,0,MTA,Q
658,ES296,2,72 St,Q,96.30%,97.68%,98.54%,16,13,0,MTA,Q
659,ES277,2,86 St,Q,96.31%,97.76%,98.37%,29,52,0,MTA,Q
660,ES408,29,Lexington Av-63 St,FQ,96.33%,97.71%,96.49%,22,37,0,MTA,F
661,ES408,29,Lexington Av-63 St,FQ,96.33%,97.71%,96.49%,22,37,0,MTA,Q
662,ES216,12,Times Sq-42 St,7,96.40%,96.59%,96.63%,29,8,0,MTA,7
663,ES459,2,Lexington Av-63 St,FQ,96.49%,95.90%,94.08%,11,7,0,MTA,F
664,ES459,2,Lexington Av-63 St,FQ,96.49%,95.90%,94.08%,11,7,0,MTA,Q
665,ES252,29,51 St,6,96.49%,96.29%,97.92%,8,4,0,MTA,6
666,ES215,22,Lexington Av-59 St,NQRW,96.53%,95.82%,96.79%,11,7,0,MTA,N
667,ES215,22,Lexington Av-59 St,NQRW,96.53%,95.82%,96.79%,11,7,0,MTA,Q
668,ES215,22,Lexington Av-59 St,NQRW,96.53%,95.82%,96.79%,11,7,0,MTA,R
669,ES215,22,Lexington Av-59 St,NQRW,96.53%,95.82%,96.79%,11,7,0,MTA,W
670,ES412,10,Roosevelt Island,F,96.56%,98.85%,94.33%,13,11,0,MTA,F
671,ES404,29,Lexington Av-63 St,FQ,96.59%,96.55%,97.20%,24,20,0,MTA,F
672,ES404,29,Lexington Av-63 St,FQ,96.59%,96.55%,97.20%,24,20,0,MTA,Q
673,ES280,2,86 St,Q,96.60%,99.33%,98.72%,17,59,0,MTA,Q
674,ES418,11,Roosevelt Island,F,96.61%,97.89%,97.06%,4,8,0,MTA,F
675,ES275,2,86 St,Q,96.63%,99.94%,98.91%,8,40,0,MTA,Q
676,ES409,29,Lexington Av-63 St,FQ,96.77%,100.00%,98.11%,10,35,0,MTA,F
677,ES409,29,Lexington Av-63 St,FQ,96.77%,100.00%,98.11%,10,35,0,MTA,Q
678,ES458,2,Lexington Av-63 St,FQ,96.85%,96.96%,95.39%,16,6,0,MTA,F
679,ES458,2,Lexington Av-63 St,FQ,96.85%,96.96%,95.39%,16,6,0,MTA,Q
680,ES342,14,Bowling Green,45,96.85%,97.00%,96.82%,17,2,0,MTA,4
681,ES342,14,Bowling Green,45,96.85%,97.00%,96.82%,17,2,0,MTA,5
682,ES340,14,Bowling Green,45,96.96%,98.96%,95.75%,12,7,0,MTA,4
683,ES340,14,Bowling Green,45,96.96%,98.96%,95.75%,12,7,0,MTA,5
684,ES353,0,Cortlandt St,1,97.01%,98.12%,99.63%,10,14,0,MTA,1
685,ES283,2,86 St,Q,97.04%,99.55%,100.00%,5,27,0,MTA,Q
686,ES272,2,96 St,Q,97.21%,99.90%,97.78%,9,21,0,MTA,Q
687,ES406,29,Lexington Av-63 St,FQ,97.36%,99.33%,99.91%,7,33,0,MTA,F
688,ES406,29,Lexington Av-63 St,FQ,97.36%,99.33%,99.91%,7,33,0,MTA,Q
689,ES202,2,96 St,Q,97.38%,99.28%,99.56%,3,31,0,MTA,Q
690,ES623,3,34 St-Hudson Yards,7,97.44%,96.61%,96.36%,10,13,0,MTA,7
691,ES247,2,96 St,Q,97.63%,100.00%,99.14%,1,25,0,MTA,Q
692,ES629,3,34 St-Hudson Yards,7,97.68%,100.00%,99.20%,0,28,0,MTA,7
693,ES338,15,Bowling Green,45,97.70%,98.45%,97.04%,20,3,0,MTA,4
694,ES338,15,Bowling Green,45,97.70%,98.45%,97.04%,20,3,0,MTA,5
695,ES372,1,South Ferry,1,97.71%,98.08%,99.33%,9,5,0,MTA,1
696,ES373,1,South Ferry,1,97.72%,98.96%,99.62%,6,14,0,MTA,1
697,ES200,2,96 St,Q,97.78%,99.33%,99.27%,4,13,0,MTA,Q
698,ES220,2,96 St,Q,97.91%,99.28%,99.14%,3,21,0,MTA,Q
699,ES291,2,72 St,Q,97.97%,99.10%,100.00%,6,8,0,MTA,Q
700,ES326,19,West 4 St,ABCDEFM,98.03%,99.24%,98.13%,15,5,0,MTA,A
701,ES326,19,West 4 St,ABCDEFM,98.03%,99.24%,98.13%,15,5,0,MTA,B
702,ES326,19,West 4 St,ABCDEFM,98.03%,99.24%,98.13%,15,5,0,MTA,C
703,ES326,19,West 4 St,ABCDEFM,98.03%,99.24%,98.13%,15,5,0,MTA,D
704,ES326,19,West 4 St,ABCDEFM,98.03%,99.24%,98.13%,15,5,0,MTA,E
705,ES326,19,West 4 St,ABCDEFM,98.03%,99.24%,98.13%,15,5,0,MTA,F
706,ES326,19,West 4 St,ABCDEFM,98.03%,99.24%,98.13%,15,5,0,MTA,M
707,ES420,10,Roosevelt Island,F,98.09%,99.58%,97.71%,4,6,0,MTA,F
708,ES371,1,South Ferry,1,98.17%,98.30%,98.15%,13,8,0,MTA,1
709,ES624,3,34 St-Hudson Yards,7,98.19%,98.65%,98.69%,5,12,0,MTA,7
710,ES419,11,Roosevelt Island,F,98.44%,100.00%,98.69%,7,5,0,MTA,F
711,ES417,10,Roosevelt Island,F,98.67%,99.35%,99.30%,4,5,0,MTA,F
712,EL340,19,Franklin Av,CS,78.96%,79.75%,81.55%,5,5,0,MTA,C
713,EL340,19,Franklin Av,CS,78.96%,79.75%,81.55%,5,5,0,MTA,S
714,EL312,18,Clark St,23,81.47%,83.61%,83.04%,12,11,3,MTA,2
715,EL312,18,Clark St,23,81.47%,83.61%,83.04%,12,11,3,MTA,3
716,EL342,13,Euclid Av,AC,88.16%,86.57%,90.51%,8,8,2,MTA,A
717,EL342,13,Euclid Av,AC,88.16%,86.57%,90.51%,8,8,2,MTA,C
718,EL310,18,Clark St,23,89.73%,91.11%,89.87%,5,7,2,MTA,2
719,EL310,18,Clark St,23,89.73%,91.11%,89.87%,5,7,2,MTA,3
720,EL382,15,Prospect Park,BQS,93.61%,90.81%,95.23%,4,19,0,MTA,B
721,EL382,15,Prospect Park,BQS,93.61%,90.81%,95.23%,4,19,0,MTA,Q
722,EL382,15,Prospect Park,BQS,93.61%,90.81%,95.23%,4,19,0,MTA,S
723,EL398,11,yrtle-Wyckoff Avs,M,93.99%,92.91%,95.56%,3,5,0,MTA,M
724,EL397,11,Myrtle-Wyckoff Avs,L,94.28%,94.44%,95.56%,2,6,0,MTA,L
725,EL311,18,Clark St,23,94.28%,99.14%,92.56%,17,17,2,MTA,2
726,EL311,18,Clark St,23,94.28%,99.14%,92.56%,17,17,2,MTA,3
727,EL376,6,Bay Parkway,D,94.71%,95.49%,92.95%,19,7,0,MTA,D
728,EL301,14,Pacific St-Atlantic Av,DNR,95.12%,94.79%,97.08%,14,7,0,MTA,D
729,EL301,14,Pacific St-Atlantic Av,DNR,95.12%,94.79%,97.08%,14,7,0,MTA,N
730,EL301,14,Pacific St-Atlantic Av,DNR,95.12%,94.79%,97.08%,14,7,0,MTA,R
731,EL393,16,Flushing Av,JM,95.53%,96.77%,93.96%,18,10,0,MTA,J
732,EL393,16,Flushing Av,JM,95.53%,96.77%,93.96%,18,10,0,MTA,M
733,EL339,19,Franklin Av,CS,95.94%,96.06%,96.04%,3,4,0,MTA,C
734,EL339,19,Franklin Av,CS,95.94%,96.06%,96.04%,3,4,0,MTA,S
735,EL383,15,Prospect Park,BQS,95.97%,98.33%,96.28%,16,8,0,MTA,B
736,EL383,15,Prospect Park,BQS,95.97%,98.33%,96.28%,16,8,0,MTA,Q
737,EL383,15,Prospect Park,BQS,95.97%,98.33%,96.28%,16,8,0,MTA,S
738,EL761,7,Kings Highway,BQ,96.09%,98.89%,95.62%,10,6,1,MTA,B
739,EL761,7,Kings Highway,BQ,96.09%,98.89%,95.62%,10,6,1,MTA,Q
740,EL304,14,Atlantic Av,23,96.31%,96.09%,97.88%,3,6,0,MTA,2
741,EL304,14,Atlantic Av,23,96.31%,96.09%,97.88%,3,6,0,MTA,3
742,EL343,13,Euclid Av,AC,96.31%,97.68%,96.51%,1,6,0,MTA,A
743,EL343,13,Euclid Av,AC,96.31%,97.68%,96.51%,1,6,0,MTA,C
744,EL302,14,Pacific St-Atlantic Av,DNR,96.45%,97.86%,96.46%,11,5,0,MTA,D
745,EL302,14,Pacific St-Atlantic Av,DNR,96.45%,97.86%,96.46%,11,5,0,MTA,N
746,EL302,14,Pacific St-Atlantic Av,DNR,96.45%,97.86%,96.46%,11,5,0,MTA,R
747,EL346,4,Utica Av,AC,96.93%,97.11%,99.35%,13,9,1,MTA,A
748,EL346,4,Utica Av,AC,96.93%,97.11%,99.35%,13,9,1,MTA,C
749,EL708,8,Jay St,ACFR,96.96%,99.01%,96.61%,39,10,0,MTA,A
750,EL708,8,Jay St,ACFR,96.96%,99.01%,96.61%,39,10,0,MTA,C
751,EL708,8,Jay St,ACFR,96.96%,99.01%,96.61%,39,10,0,MTA,F
752,EL708,8,Jay St,ACFR,96.96%,99.01%,96.61%,39,10,0,MTA,R
753,EL344,4,Utica Av,AC,97.18%,99.17%,97.77%,11,8,0,MTA,A
754,EL344,4,Utica Av,AC,97.18%,99.17%,97.77%,11,8,0,MTA,C
755,EL760,7,Kings Highway,BQ,97.18%,99.51%,95.81%,14,8,1,MTA,B
756,EL760,7,Kings Highway,BQ,97.18%,99.51%,95.81%,14,8,1,MTA,Q
757,EL318,24,Borough Hall,2345,97.23%,99.63%,97.55%,6,8,0,MTA,2
758,EL318,24,Borough Hall,2345,97.23%,99.63%,97.55%,6,8,0,MTA,3
759,EL318,24,Borough Hall,2345,97.23%,99.63%,97.55%,6,8,0,MTA,4
760,EL318,24,Borough Hall,2345,97.23%,99.63%,97.55%,6,8,0,MTA,5
761,EL320,20,Church Av,25,97.26%,97.85%,96.16%,6,9,1,MTA,2
762,EL320,20,Church Av,25,97.26%,97.85%,96.16%,6,9,1,MTA,5
763,EL707,8,Jay St,ACFR,97.33%,98.07%,98.87%,8,9,1,MTA,A
764,EL707,8,Jay St,ACFR,97.33%,98.07%,98.87%,8,9,1,MTA,C
765,EL707,8,Jay St,ACFR,97.33%,98.07%,98.87%,8,9,1,MTA,F
766,EL707,8,Jay St,ACFR,97.33%,98.07%,98.87%,8,9,1,MTA,R
767,EL373,10,Church Av,FG,97.59%,97.73%,98.14%,5,7,0,MTA,F
768,EL373,10,Church Av,FG,97.59%,97.73%,98.14%,5,7,0,MTA,G
769,EL309,17,Court St,R,97.62%,97.84%,98.89%,5,3,1,MTA,R
770,EL341,13,Euclid Av,AC,97.70%,99.30%,95.72%,9,5,0,MTA,A
771,EL341,13,Euclid Av,AC,97.70%,99.30%,95.72%,9,5,0,MTA,C
772,EL345,4,Utica Av,AC,97.86%,97.59%,98.53%,5,7,0,MTA,A
773,EL345,4,Utica Av,AC,97.86%,97.59%,98.53%,5,7,0,MTA,C
774,EL391,14,Marcy Av,JMZ,98.00%,98.33%,99.51%,8,7,1,MTA,J
775,EL391,14,Marcy Av,JMZ,98.00%,98.33%,99.51%,8,7,1,MTA,M
776,EL391,14,Marcy Av,JMZ,98.00%,98.33%,99.51%,8,7,1,MTA,Z
777,EL377,6,Bay Parkway,D,98.07%,98.25%,97.95%,6,6,0,MTA,D
778,EL307,15,Atlantic Av,BQ,98.07%,99.88%,98.89%,2,7,0,MTA,B
779,EL307,15,Atlantic Av,BQ,98.07%,99.88%,98.89%,2,7,0,MTA,Q
780,EL394,16,Flushing Av,JM,98.12%,99.58%,99.06%,5,5,2,MTA,J
781,EL394,16,Flushing Av,JM,98.12%,99.58%,99.06%,5,5,2,MTA,M
782,EL371,13,DeKalb Av,BQR,98.21%,99.94%,98.54%,6,6,1,MTA,B
783,EL371,13,DeKalb Av,BQR,98.21%,99.94%,98.54%,6,6,1,MTA,Q
784,EL371,13,DeKalb Av,BQR,98.21%,99.94%,98.54%,6,6,1,MTA,R
785,EL306,14,Atlantic Av,23,98.32%,99.10%,98.92%,3,5,2,MTA,2
786,EL306,14,Atlantic Av,23,98.32%,99.10%,98.92%,3,5,2,MTA,3
787,EL378,6,Bay Parkway,D,98.40%,99.84%,99.63%,2,7,0,MTA,D
788,EL317,24,Borough Hall,2345,98.46%,99.98%,99.45%,3,7,0,MTA,2
789,EL317,24,Borough Hall,2345,98.46%,99.98%,99.45%,3,7,0,MTA,3
790,EL317,24,Borough Hall,2345,98.46%,99.98%,99.45%,3,7,0,MTA,4
791,EL317,24,Borough Hall,2345,98.46%,99.98%,99.45%,3,7,0,MTA,5
792,EL322,14,Crown Hts-Utica Av,34,98.48%,100.00%,99.26%,5,5,0,MTA,3
793,EL322,14,Crown Hts-Utica Av,34,98.48%,100.00%,99.26%,5,5,0,MTA,4
794,EL308,17,Court St,R,98.54%,99.69%,99.25%,3,5,2,MTA,R
795,EL396,11,Myrtle-Wyckoff Avs,LM,98.58%,97.79%,98.86%,4,5,0,MTA,L
796,EL396,11,Myrtle-Wyckoff Avs,LM,98.58%,97.79%,98.86%,4,5,0,MTA,M
797,EL305,14,Atlantic Av,45,98.62%,99.44%,99.20%,5,9,0,MTA,4
798,EL305,14,Atlantic Av,45,98.62%,99.44%,99.20%,5,9,0,MTA,5
799,EL395,16,Flushing Av,JM,98.64%,98.19%,98.30%,5,4,1,MTA,J
800,EL395,16,Flushing Av,JM,98.64%,98.19%,98.30%,5,4,1,MTA,M
801,EL303,14,Pacific St-Atlantic Av,DNR,98.66%,99.63%,98.71%,3,3,1,MTA,D
802,EL303,14,Pacific St-Atlantic Av,DNR,98.66%,99.63%,98.71%,3,3,1,MTA,N
803,EL303,14,Pacific St-Atlantic Av,DNR,98.66%,99.63%,98.71%,3,3,1,MTA,R
804,EL323,14,Crown Hts-Utica Av,34,98.69%,99.31%,98.78%,4,4,0,MTA,3
805,EL323,14,Crown Hts-Utica Av,34,98.69%,99.31%,98.78%,4,4,0,MTA,4
806,EL321,20,Church Av,25,98.70%,99.74%,100.00%,0,8,0,MTA,2
807,EL321,20,Church Av,25,98.70%,99.74%,100.00%,0,8,0,MTA,5
808,EL709,8,Jay St,ACFR,98.70%,99.94%,99.42%,8,4,2,MTA,A
809,EL709,8,Jay St,ACFR,98.70%,99.94%,99.42%,8,4,2,MTA,C
810,EL709,8,Jay St,ACFR,98.70%,99.94%,99.42%,8,4,2,MTA,F
811,EL709,8,Jay St,ACFR,98.70%,99.94%,99.42%,8,4,2,MTA,R
812,EL706,8,Jay St,ACFR,98.82%,99.48%,99.89%,13,6,1,MTA,A
813,EL706,8,Jay St,ACFR,98.82%,99.48%,99.89%,13,6,1,MTA,C
814,EL706,8,Jay St,ACFR,98.82%,99.48%,99.89%,13,6,1,MTA,F
815,EL706,8,Jay St,ACFR,98.82%,99.48%,99.89%,13,6,1,MTA,R
816,EL374,10,Church Av,FG,98.83%,98.17%,99.19%,5,2,1,MTA,F
817,EL374,10,Church Av,FG,98.83%,98.17%,99.19%,5,2,1,MTA,G
818,EL375,10,Church Av,FG,98.90%,100.00%,99.63%,3,2,0,MTA,F
819,EL375,10,Church Av,FG,98.90%,100.00%,99.63%,3,2,0,MTA,G
820,EL319,21,Brooklyn College-Flatbush Av,25,98.96%,99.80%,100.00%,3,5,1,MTA,2
821,EL319,21,Brooklyn College-Flatbush Av,25,98.96%,99.80%,100.00%,3,5,1,MTA,5
822,EL370,13,DeKalb Av,BQR,99.05%,99.40%,100.00%,1,3,0,MTA,B
823,EL370,13,DeKalb Av,BQR,99.05%,99.40%,100.00%,1,3,0,MTA,Q
824,EL370,13,DeKalb Av,BQR,99.05%,99.40%,100.00%,1,3,0,MTA,R
825,EL392,14,Marcy Av,JMZ,99.07%,99.77%,99.98%,1,4,0,MTA,J
826,EL392,14,Marcy Av,JMZ,99.07%,99.77%,99.98%,1,4,0,MTA,M
827,EL392,14,Marcy Av,JMZ,99.07%,99.77%,99.98%,1,4,0,MTA,Z
828,EL372,13,DeKalb Av,BQR,99.12%,100.00%,99.77%,5,2,0,MTA,B
829,EL372,13,DeKalb Av,BQR,99.12%,100.00%,99.77%,5,2,0,MTA,Q
830,EL372,13,DeKalb Av,BQR,99.12%,100.00%,99.77%,5,2,0,MTA,R
831,EL701,13,Coney Island-Stillwell Av,DFNQ,99.29%,99.44%,98.89%,1,2,0,MTA,D
832,EL701,13,Coney Island-Stillwell Av,DFNQ,99.29%,99.44%,98.89%,1,2,0,MTA,F
833,EL701,13,Coney Island-Stillwell Av,DFNQ,99.29%,99.44%,98.89%,1,2,0,MTA,N
834,EL701,13,Coney Island-Stillwell Av,DFNQ,99.29%,99.44%,98.89%,1,2,0,MTA,Q
835,EL702,13,Coney Island-Stillwell Av,DFNQ,99.30%,99.51%,99.68%,3,3,1,MTA,D
836,EL702,13,Coney Island-Stillwell Av,DFNQ,99.30%,99.51%,99.68%,3,3,1,MTA,F
837,EL702,13,Coney Island-Stillwell Av,DFNQ,99.30%,99.51%,99.68%,3,3,1,MTA,N
838,EL702,13,Coney Island-Stillwell Av,DFNQ,99.30%,99.51%,99.68%,3,3,1,MTA,Q
839,ES346,16,Brighton Beach,BQ,45.58%,49.75%,41.11%,42,6,0,MTA,B
840,ES346,16,Brighton Beach,BQ,45.58%,49.75%,41.11%,42,6,0,MTA,Q
841,ES321,20,High St,AC,62.65%,65.59%,62.28%,42,2,0,MTA,A
842,ES321,20,High St,AC,62.65%,65.59%,62.28%,42,2,0,MTA,C
843,ES349,20,Smith 9 St,FG,64.43%,65.81%,64.36%,13,3,0,MTA,F
844,ES349,20,Smith 9 St,FG,64.43%,65.81%,64.36%,13,3,0,MTA,G
845,ES315,18,Smith 9 St,FG,75.73%,79.40%,72.39%,56,7,0,MTA,F
846,ES315,18,Smith 9 St,FG,75.73%,79.40%,72.39%,56,7,0,MTA,G
847,ES324,19,High St,AC,77.09%,79.33%,71.52%,67,4,0,MTA,A
848,ES324,19,High St,AC,77.09%,79.33%,71.52%,67,4,0,MTA,C
849,ES304,17,President St,25,77.44%,79.32%,75.83%,34,5,0,MTA,2
850,ES304,17,President St,25,77.44%,79.32%,75.83%,34,5,0,MTA,5
851,ES335,15,West 8 St-NY Aquarium,FQ,80.96%,90.03%,74.38%,69,28,0,MTA,F
852,ES335,15,West 8 St-NY Aquarium,FQ,80.96%,90.03%,74.38%,69,28,0,MTA,Q
853,ES333,16,Myrtle-Wyckoff Avs,LM,81.62%,83.15%,78.15%,59,7,0,MTA,L
854,ES333,16,Myrtle-Wyckoff Avs,LM,81.62%,83.15%,78.15%,59,7,0,MTA,M
855,ES309,18,DeKalb Av,BQR,83.99%,86.01%,82.33%,71,10,0,MTA,B
856,ES309,18,DeKalb Av,BQR,83.99%,86.01%,82.33%,71,10,0,MTA,Q
857,ES309,18,DeKalb Av,BQR,83.99%,86.01%,82.33%,71,10,0,MTA,R
858,ES306,15,Court St,R,86.47%,91.64%,83.64%,61,10,0,MTA,R
859,ES308,18,DeKalb Av,BQR,87.21%,87.58%,86.12%,15,7,0,MTA,B
860,ES308,18,DeKalb Av,BQR,87.21%,87.58%,86.12%,15,7,0,MTA,Q
861,ES308,18,DeKalb Av,BQR,87.21%,87.58%,86.12%,15,7,0,MTA,R
862,ES330,22,Broadway Junction,ACJLZ,88.56%,92.48%,85.33%,74,6,0,MTA,A
863,ES330,22,Broadway Junction,ACJLZ,88.56%,92.48%,85.33%,74,6,0,MTA,C
864,ES330,22,Broadway Junction,ACJLZ,88.56%,92.48%,85.33%,74,6,0,MTA,J
865,ES330,22,Broadway Junction,ACJLZ,88.56%,92.48%,85.33%,74,6,0,MTA,L
866,ES330,22,Broadway Junction,ACJLZ,88.56%,92.48%,85.33%,74,6,0,MTA,Z
867,ES331,23,Broadway Junction,ACJLZ,89.49%,93.50%,90.41%,46,6,0,MTA,A
868,ES331,23,Broadway Junction,ACJLZ,89.49%,93.50%,90.41%,46,6,0,MTA,C
869,ES331,23,Broadway Junction,ACJLZ,89.49%,93.50%,90.41%,46,6,0,MTA,J
870,ES331,23,Broadway Junction,ACJLZ,89.49%,93.50%,90.41%,46,6,0,MTA,L
871,ES331,23,Broadway Junction,ACJLZ,89.49%,93.50%,90.41%,46,6,0,MTA,Z
872,ES352,19,Franklin Av,S,90.52%,95.69%,85.64%,56,2,0,MTA,S
873,ES332,16,Myrtle-Wyckoff Avs,LM,91.42%,93.91%,89.23%,49,6,0,MTA,L
874,ES332,16,Myrtle-Wyckoff Avs,LM,91.42%,93.91%,89.23%,49,6,0,MTA,M
875,ES317,19,Jay St,ACF,92.30%,92.54%,93.02%,45,7,0,MTA,A
876,ES317,19,Jay St,ACF,92.30%,92.54%,93.02%,45,7,0,MTA,C
877,ES317,19,Jay St,ACF,92.30%,92.54%,93.02%,45,7,0,MTA,F
878,ES322,20,High St,AC,92.34%,92.19%,90.90%,29,4,0,MTA,A
879,ES322,20,High St,AC,92.34%,92.19%,90.90%,29,4,0,MTA,C
